city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Záhony,48.4069,22.1744,Hungary,HU,Szabolcs-Szatmár-Bereg,minor,4236,4236
Devecser,47.1061,17.4372,Hungary,HU,Veszprém,minor,4196,4196
Vasvár,47.0508,16.7983,Hungary,HU,Vas,minor,4171,4171
Tét,47.5167,17.5167,Hungary,HU,Győr-Moson-Sopron,minor,4097,4097
Tokaj,48.1200,21.4100,Hungary,HU,Borsod-Abaúj-Zemplén,minor,4069,4069
Pannonhalma,47.5486,17.7483,Hungary,HU,Győr-Moson-Sopron,minor,4021,4021
Letenye,46.4336,16.7222,Hungary,HU,Zala,minor,4001,4001
Pécsvárad,46.1581,18.4219,Hungary,HU,Baranya,minor,3982,3982
Baktalórántháza,47.9975,22.0764,Hungary,HU,Szabolcs-Szatmár-Bereg,minor,3918,3918
Bóly,45.9672,18.5181,Hungary,HU,Baranya,minor,3824,3824
Cigánd,48.2631,21.8917,Hungary,HU,Borsod-Abaúj-Zemplén,minor,3009,3009
Bélapátfalva,48.0500,20.3667,Hungary,HU,Heves,minor,2935,2935
Sásd,46.2544,18.1058,Hungary,HU,Baranya,minor,2934,2934
Rétság,47.9278,19.1372,Hungary,HU,Nógrád,minor,2705,2705
Szob,47.8178,18.8667,Hungary,HU,Pest,minor,2566,2566
Sellye,45.8719,17.8456,Hungary,HU,Baranya,minor,2479,2479
Pétervására,48.0230,20.0990,Hungary,HU,Heves,minor,2031,2031
Gönc,48.4708,21.2742,Hungary,HU,Borsod-Abaúj-Zemplén,minor,1968,1968
Szentendre,47.6647,19.0681,Hungary,HU,Pest,minor,,
