,Unnamed: 0,sub_omid,school_name,school_address,school_county,school_type,omid,PIR_id,institution_name,institution_name.1,institution_county,institution_manager,institution_manager_position,institution_phone,institution_fax,institution_web,institution_tax_number,institution_tasks,founder_name,founder_address,maintainer_name,maintainer_address,maintainer_type,maintainer_representative,maintainer_phone,school_type_2,number_of_operational_sub_institution,number_students,number_students_female,number_of_therapeutical_students,full_time_teachers,full_time_teachers_female,number_classrooms,number_classes,number_helper_teachers,number_helper_teachers_female,school_name+address,competency_test_math,competency_test_hu,eng_lang_A,geo_A,info_A,cemistry_A,hu_A,math_A,PE_A,hist_A,eng_lang_midlevel,geo_midlevel,info_midlevel,cemistry_midlevel,hu_midlevel,math_midlevel,PE_midlevel,hist_midlevel,eng_lang_A_%,geo_A_%,info_A_%,cemistry_A_%,hu_A_%,math_A_%,PE_A_%,hist_A_%,eng_lang_midlevel_%,geo_midlevel_%,info_midlevel_%,cemistry_midlevel_%,hu_midlevel_%,math_midlevel_%,PE_midlevel_%,hist_midlevel_%,eng_lang_A_avg,geo_A_avg,info_A_avg,cemistry_A_avg,hu_A_avg,math_A_avg,PE_A_avg,hist_A_avg,eng_lang_midlevel_avg,geo_midlevel_avg,info_midlevel_avg,cemistry_midlevel_avg,hu_midlevel_avg,math_midlevel_avg,PE_midlevel_avg,hist_midlevel_avg,advertised_places,number_applicants,number_applicants_first_place,number_got_in,number_got_in_from_first_place,higher_got_in_score,lowest_got_in_score,bio_A,physics_A,german_lang_A,spanish_lang_A,bio_midlevel,physics_midlevel,german_lang_midlevel,spanish_lang_midlevel,bio_A_%,physics_A_%,german_lang_A_%,spanish_lang_A_%,bio_midlevel_%,physics_midlevel_%,german_lang_midlevel_%,spanish_lang_midlevel_%,bio_A_avg,physics_A_avg,german_lang_A_avg,spanish_lang_A_avg,bio_midlevel_avg,physics_midlevel_avg,german_lang_midlevel_avg,spanish_lang_midlevel_avg,french_lang_A,latin_A,italian_lang_A,music_A,french_lang_midlevel,latin_midlevel,italian_lang_midlevel,music_midlevel,french_lang_A_%,latin_A_%,italian_lang_A_%,music_A_%,french_lang_midlevel_%,latin_midlevel_%,italian_lang_midlevel_%,music_midlevel_%,french_lang_A_avg,latin_A_avg,italian_lang_A_avg,music_A_avg,french_lang_midlevel_avg,latin_midlevel_avg,italian_lang_midlevel_avg,music_midlevel_avg,russian_lang_A,russian_lang_midlevel,russian_lang_A_%,russian_lang_midlevel_%,russian_lang_A_avg,russian_lang_midlevel_avg,beas_lang_A,lovari_lang_A,beas_lang_midlevel,lovari_lang_midlevel,beas_lang_A_%,lovari_lang_A_%,beas_lang_midlevel_%,lovari_lang_midlevel_%,beas_lang_A_avg,lovari_lang_A_avg,beas_lang_midlevel_avg,lovari_lang_midlevel_avg,croatian_lang_A,croatian_lang_midlevel,croatian_lang_A_%,croatian_lang_midlevel_%,croatian_lang_A_avg,croatian_lang_midlevel_avg,polish_lang_A,polish_lang_midlevel,polish_lang_A_%,polish_lang_midlevel_%,polish_lang_A_avg,polish_lang_midlevel_avg,japanese_lang_A,japanese_lang_midlevel,japanese_lang_A_%,japanese_lang_midlevel_%,japanese_lang_A_avg,japanese_lang_midlevel_avg,chinese_lang_A,chinese_lang_midlevel,chinese_lang_A_%,chinese_lang_midlevel_%,chinese_lang_A_avg,chinese_lang_midlevel_avg,hebrew_lang_A,hebrew_lang_midlevel,hebrew_lang_A_%,hebrew_lang_midlevel_%,hebrew_lang_A_avg,hebrew_lang_midlevel_avg,holland_lang_A,holland_lang_midlevel,holland_lang_A_%,holland_lang_midlevel_%,holland_lang_A_avg,holland_lang_midlevel_avg,greek_lang_A,greek_lang_midlevel,greek_lang_A_%,greek_lang_midlevel_%,greek_lang_A_avg,greek_lang_midlevel_avg,esperanto_lang_A,esperanto_lang_midlevel,esperanto_lang_A_%,esperanto_lang_midlevel_%,esperanto_lang_A_avg,esperanto_lang_midlevel_avg,portuguese_lang_A,portuguese_lang_midlevel,portuguese_lang_A_%,portuguese_lang_midlevel_%,portuguese_lang_A_avg,portuguese_lang_midlevel_avg,serbian_lang_A,serbian_lang_midlevel,serbian_lang_A_%,serbian_lang_midlevel_%,serbian_lang_A_avg,serbian_lang_midlevel_avg,romanian_lang_A,romanian_lang_midlevel,romanian_lang_A_%,romanian_lang_midlevel_%,romanian_lang_A_avg,romanian_lang_midlevel_avg,slovakian_lang_A,slovakian_lang_midlevel,slovakian_lang_A_%,slovakian_lang_midlevel_%,slovakian_lang_A_avg,slovakian_lang_midlevel_avg,school_id,school_coords,latitude,longitude
1154,1179,3.0,Altisz Alapítványi Gimnázium,"1101 Budapest X. kerület, Kőbányai út 49.",Budapest,['4 évfolyamos gimnáziumi nevelés-oktatás'],200078.0,,Altisz Alapítványi Gimnázium,"1101 Budapest X. kerület, Kőbányai út 49.",Budapest,Csipai Viktória,intézményvezető,1/261-9652,1/260-4439,www.aagk.hu,18173895-1-42,4 évfolyamos gimnáziumi nevelés-oktatás,Altisz Alapítvány,"1101 Budapest, Kismartoni út 1-3",Altisz Alapítvány,"1075 Budapest VII. kerület, Madách I út 13-14",alapítvány,Gödry Zsolt,1/261-9652,Gimnázium,1.0,100.0,38.0,3.0,8.0,5.0,6.0,4.0,2.0,2.0,"Altisz Alapítványi Gimnázium (1101 Budapest X. kerület, Kőbányai út 49.)",1799.0,1639.0,12,,5-nél kevesebb,,,,5-nél kevesebb,,7,9,5-nél kevesebb,,26,27,9,26,57 %,,45 %,,,,61 %,,62 %,61 %,80 %,,68 %,54 %,77 %,66 %,4.17,,3.0,,,,4.33,,3.57,3.67,5.0,,4.04,2.93,4.33,3.88,25.0,37.0,20.0,18.0,17.0,1.0,25.0,5-nél kevesebb,,,,5-nél kevesebb,,5-nél kevesebb,,33 %,,,,59 %,,40 %,,3.0,,,,3.33,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200078_3,"[47.4829605, 19.1212915]",47.4829605,19.1212915
1156,1181,2.0,"Patkós Irma Művészeti Iskola, Gimnázium, Szakgimnázium és AMI Telephely","2700 Cegléd, Széchenyi út 16.",Pest,"['4 évfolyamos gimnáziumi nevelés-oktatás', 'szakgimnáziumi nevelés-oktatás (9-12. évfolyam', '2020.09.01-től kifutó rendszerben)', 'szakközépiskolai nevelés-oktatás (szakképzés - 2016.09.01-től kifutó rendszerben)', 'párhuzamos művészeti nevelés-oktatás (szakgimnázium)']",200185.0,,"Patkós Irma Művészeti Iskola, Gimnázium, Szakgimnázium és AMI","2700 Cegléd, (Pf.:255) Kossuth tér 5/a",Pest,Andó László,intézményvezető,20/4985343,53/310945,pimi.hu,18694480-1-13,"4 évfolyamos gimnáziumi nevelés-oktatás, szakgimnáziumi nevelés-oktatás (9-12. évfolyam, 2020.09.01-től kifutó rendszerben), szakgimnáziumi nevelés-oktatás (kizárólag szakképzési évfolyamok, 2020.09.01-től kifutó rendszerben), szakközépiskolai nevelés-oktatás (szakképzés - 2016.09.01-től kifutó rendszerben), párhuzamos művészeti nevelés-oktatás (szakgimnázium), alapfokú művészetoktatás táncművészeti ágon, alapfokú művészetoktatás szín- és bábművészeti ágon",Gobbi Hilda Színjátszó Alapítvány,"2737 Ceglédbercel, Ifjúság út 4.",Gobbi Hilda Színjátszó Alapítvány (GO-HEBI Alapítvány),"2737 Ceglédbercel, Ifjúság utca 4.",közhasznú alapítvány,Jámbrik Máté,06204985343,Gimnázium,1.0,98.0,67.0,2.0,14.0,10.0,0.0,4.0,1.0,1.0,"Patkós Irma Művészeti Iskola, Gimnázium, Szakgimnázium és AMI Telephely (2700 Cegléd, Széchenyi út 16.)",1543.5,1598.0,5-nél kevesebb,,,,5-nél kevesebb,,5-nél kevesebb,,28,12,,5-nél kevesebb,43,45,5-nél kevesebb,44,41 %,,,,67 %,,100 %,,44 %,47 %,,36 %,55 %,31 %,80 %,40 %,3.5,,,,5.0,,5.0,,2.79,2.83,,2.0,3.3,1.98,4.5,2.59,102.0,188.0,54.0,57.0,41.0,3.0,91.0,,,,,5-nél kevesebb,5-nél kevesebb,13,,,,,,39 %,30 %,43 %,,,,,,2.5,2.0,2.54,,,,,,,,,5-nél kevesebb,,,,,,,,96 %,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200185_2,"[47.1750046, 19.8058058]",47.1750046,19.8058058
1157,1182,1.0,Debreceni Református Kollégium Dóczy Gimnáziuma,"4024 Debrecen, Kossuth utca 35.",Hajdú-Bihar,"['4 évfolyamos gimnáziumi nevelés-oktatás', '6 évfolyamos gimnáziumi nevelés-oktatás']",200203.0,,Debreceni Református Kollégium Dóczy Gimnáziuma,"4024 Debrecen, Kossuth utca 35.",Hajdú-Bihar,Czapp Katalin,intézményvezető,52/614783,52/614751,,19224389-4-09,"4 évfolyamos gimnáziumi nevelés-oktatás, 6 évfolyamos gimnáziumi nevelés-oktatás",Tiszántúli Reformtáus Egyházkerület,"4026 Debrecen, Kálvin tér 17.",Tiszántúli Református Egyházkerület,"4026 Debrecen, Kálvin tér 17.",egyházi jogi személy,Dr. Fekete Károly,52/614-500,Gimnázium,1.0,423.0,230.0,5.0,38.0,27.0,25.0,15.0,14.0,9.0,"Debreceni Református Kollégium Dóczy Gimnáziuma (4024 Debrecen, Kossuth utca 35.)",1743.5,1740.0,12,5-nél kevesebb,13,5-nél kevesebb,5-nél kevesebb,7,5-nél kevesebb,11,41,6,5-nél kevesebb,5-nél kevesebb,70,67,5-nél kevesebb,63,67 %,80 %,39 %,63 %,56 %,63 %,70 %,74 %,65 %,77 %,54 %,43 %,78 %,60 %,75 %,68 %,4.83,5.0,3.0,4.0,4.25,4.57,4.75,4.82,3.8,4.33,3.5,3.0,4.5,3.57,4.33,3.97,80.0,290.0,89.0,80.0,53.0,16.0,170.0,9,5-nél kevesebb,5-nél kevesebb,,5,5-nél kevesebb,5-nél kevesebb,,59 %,78 %,79 %,,65 %,70 %,77 %,,4.22,4.33,5.0,,3.6,4.33,3.0,,,,,,5-nél kevesebb,,5-nél kevesebb,5-nél kevesebb,,,,,80 %,,89 %,82 %,,,,,4.67,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200203_1,"[47.5295655, 21.630169]",47.529565500000004,21.630169
1158,1183,1.0,"Bethlen Gábor Gimnázium, Általános Iskola, Óvoda és Alapfokú Művészeti Iskola","4400 Nyíregyháza, Gomba utca 7.",Szabolcs-Szatmár-Bereg,"['általános iskolai nevelés-oktatás (alsó tagozat)', 'általános iskolai nevelés-oktatás (felső tagozat)', '4 évfolyamos gimnáziumi nevelés-oktatás', 'alapfokú művészetoktatás zeneművészeti ágon', 'alapfokú művészetoktatás képző- és iparművészeti ágon']",200232.0,,"Bethlen Gábor Gimnázium, Általános Iskola, Óvoda és Alapfokú Művészeti Iskola","4400 Nyíregyháza, Gomba utca 7.",Szabolcs-Szatmár-Bereg,Gáll Ottó,intézményvezető,42/406079,42/406079,www.bethleniskola.hu,18809000-2-15,"óvodai nevelés, általános iskolai nevelés-oktatás (alsó tagozat), általános iskolai nevelés-oktatás (felső tagozat), 4 évfolyamos gimnáziumi nevelés-oktatás, alapfokú művészetoktatás zeneművészeti ágon, alapfokú művészetoktatás képző- és iparművészeti ágon",Hit Gyülekezete,"1103 Budapest, Gyömrői út 69.",Hit Gyülekezete,"1103 Budapest X. kerület, Gyömrői út 69.",egyházi jogi személy,"Petrőcz László, Németh Sándor, Horváth András",1/4322700,Gimnázium,1.0,91.0,44.0,4.0,10.0,6.0,8.0,5.0,0.0,0.0,"Bethlen Gábor Gimnázium, Általános Iskola, Óvoda és Alapfokú Művészeti Iskola (4400 Nyíregyháza, Gomba utca 7.)",1600.666666666667,1630.666666666667,5-nél kevesebb,,5-nél kevesebb,5-nél kevesebb,5-nél kevesebb,,5-nél kevesebb,9,5-nél kevesebb,,5-nél kevesebb,,18,20,,11,61 %,,33 %,12 %,58 %,,91 %,61 %,65 %,,80 %,,82 %,51 %,,69 %,5.0,,2.33,1.0,4.0,,5.0,4.67,4.0,,5.0,,4.78,2.9,,4.18,36.0,22.0,18.0,19.0,18.0,1.0,21.0,5-nél kevesebb,,,,,,5,,51 %,,,,,,55 %,,4.0,,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200232_1,"[47.949779, 21.7448027]",47.949779,21.7448027
1168,1193,13.0,"Pannon Oktatási Központ Gimnázium, Szakgimnázium, Technikum, Szakképző Iskola és Általános Iskola","2400 Dunaújváros, Pannon kert 1.",Fejér,"['szakképző iskola (9-11. évfolyam)', 'technikum (érettségire felkészítő két évfolyam)', 'technikum (kizárólag szakmai képzés)', 'általános iskolai nevelés-oktatás (alsó tagozat)', 'általános iskolai nevelés-oktatás (felső tagozat)', '4 évfolyamos gimnáziumi nevelés-oktatás', '6 évfolyamos gimnáziumi nevelés-oktatás']",200290.0,,"Pannon Oktatási Központ Gimnázium, Szakgimnázium, Technikum, Szakképző Iskola és Általános Iskola","2400 Dunaújváros, Pannon kert 1.",Fejér,Borgulya Zoltán,intézményvezető,25/431-890,25/434-175,"www.humanpszicho.hu, www.pok.suli.hu",18389997-1-07,"szakképző iskola (9-11. évfolyam), technikum (érettségire felkészítő két évfolyam), technikum (kizárólag szakmai képzés), általános iskolai nevelés-oktatás (alsó tagozat), általános iskolai nevelés-oktatás (felső tagozat), 4 évfolyamos gimnáziumi nevelés-oktatás, 6 évfolyamos gimnáziumi nevelés-oktatás, szakközépiskolai nevelés-oktatás (kizárólag szakmai oktatás - 2020.09.01-től kifutó rendszerben)",Humán-Pszicho 2002 Oktató és Szolgáltató Közhasznú Társaság,"2421 Nagyvenyim, Határvölgyi utca 39.",Humán-Pszicho 2002 Oktató és Szolgáltató Nonprofit Kft.,"2421 Nagyvenyim, Határvölgyi utca 39.",nonprofit korlátolt felelősségű társaság,Borgulya Zoltánné,30/641-0783,Gimnázium,32.0,3908.0,1595.0,3.0,95.0,57.0,129.0,110.0,34.0,31.0,"Pannon Oktatási Központ Gimnázium, Szakgimnázium, Technikum, Szakképző Iskola és Általános Iskola (2400 Dunaújváros, Pannon kert 1.)",1704.0,1734.0,16,5-nél kevesebb,10,5-nél kevesebb,5-nél kevesebb,5-nél kevesebb,,15,83,35,19,,121,122,6,110,67 %,61 %,35 %,27 %,53 %,51 %,,47 %,58 %,68 %,40 %,,63 %,47 %,91 %,54 %,4.56,4.5,2.6,1.67,4.0,4.0,,3.6,3.57,4.03,2.68,,3.67,2.87,5.0,3.27,112.0,280.0,90.0,83.0,81.0,28.0,221.0,10,,,,26,5-nél kevesebb,14,6,46 %,,,,64 %,55 %,58 %,51 %,3.3,,,,3.77,3.0,3.57,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200290_13,"[46.9609668, 18.9238325]",46.960966799999994,18.9238325
1176,1201,24.0,"Pannon Oktatási Központ Gimnázium, Szakgimnázium, Technikum, Szakképző Iskola és Általános Iskola Budapest Kozma utcai Tagintézménye","1108 Budapest X. kerület, Kozma utca 13.",Budapest,"['szakképző iskola (9-11. évfolyam)', 'általános iskolai nevelés-oktatás (alsó tagozat)', 'általános iskolai nevelés-oktatás (felső tagozat)', '4 évfolyamos gimnáziumi nevelés-oktatás', 'szakközépiskolai nevelés-oktatás (kizárólag szakmai oktatás - 2020.09.01-től kifutó rendszerben)']",200290.0,,"Pannon Oktatási Központ Gimnázium, Szakgimnázium, Technikum, Szakképző Iskola és Általános Iskola","2400 Dunaújváros, Pannon kert 1.",Fejér,Borgulya Zoltán,intézményvezető,25/431-890,25/434-175,"www.humanpszicho.hu, www.pok.suli.hu",18389997-1-07,"szakképző iskola (9-11. évfolyam), technikum (érettségire felkészítő két évfolyam), technikum (kizárólag szakmai képzés), általános iskolai nevelés-oktatás (alsó tagozat), általános iskolai nevelés-oktatás (felső tagozat), 4 évfolyamos gimnáziumi nevelés-oktatás, 6 évfolyamos gimnáziumi nevelés-oktatás, szakközépiskolai nevelés-oktatás (kizárólag szakmai oktatás - 2020.09.01-től kifutó rendszerben)",Humán-Pszicho 2002 Oktató és Szolgáltató Közhasznú Társaság,"2421 Nagyvenyim, Határvölgyi utca 39.",Humán-Pszicho 2002 Oktató és Szolgáltató Nonprofit Kft.,"2421 Nagyvenyim, Határvölgyi utca 39.",nonprofit korlátolt felelősségű társaság,Borgulya Zoltánné,30/641-0783,Gimnázium,32.0,3908.0,1595.0,3.0,95.0,57.0,129.0,110.0,34.0,31.0,,,,,,,,,,,,6,6,,,6,7,,7,,,,,,,,,51 %,61 %,,,37 %,34 %,,42 %,,,,,,,,,3.33,3.67,,,2.33,2.29,,2.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200290_24,"[47.47065389999999, 19.1774769]",47.47065389999999,19.1774769
1177,1202,26.0,"Pannon Oktatási Központ Gimnázium, Szakgimnázium, Technikum, Szakképző Iskola és Általános Iskola Kiskunfélegyházi Tagintézménye","6100 Kiskunfélegyháza, Móra tér 9.",Bács-Kiskun,"['technikum (kizárólag szakmai képzés)', '4 évfolyamos gimnáziumi nevelés-oktatás']",200290.0,,"Pannon Oktatási Központ Gimnázium, Szakgimnázium, Technikum, Szakképző Iskola és Általános Iskola","2400 Dunaújváros, Pannon kert 1.",Fejér,Borgulya Zoltán,intézményvezető,25/431-890,25/434-175,"www.humanpszicho.hu, www.pok.suli.hu",18389997-1-07,"szakképző iskola (9-11. évfolyam), technikum (érettségire felkészítő két évfolyam), technikum (kizárólag szakmai képzés), általános iskolai nevelés-oktatás (alsó tagozat), általános iskolai nevelés-oktatás (felső tagozat), 4 évfolyamos gimnáziumi nevelés-oktatás, 6 évfolyamos gimnáziumi nevelés-oktatás, szakközépiskolai nevelés-oktatás (kizárólag szakmai oktatás - 2020.09.01-től kifutó rendszerben)",Humán-Pszicho 2002 Oktató és Szolgáltató Közhasznú Társaság,"2421 Nagyvenyim, Határvölgyi utca 39.",Humán-Pszicho 2002 Oktató és Szolgáltató Nonprofit Kft.,"2421 Nagyvenyim, Határvölgyi utca 39.",nonprofit korlátolt felelősségű társaság,Borgulya Zoltánné,30/641-0783,Gimnázium,32.0,3908.0,1595.0,3.0,95.0,57.0,129.0,110.0,34.0,31.0,,,,,,5-nél kevesebb,,,,,,43,62,,,62,63,,62,,,15 %,,,,,,37 %,51 %,,,54 %,32 %,,42 %,,,1.0,,,,,,2.56,3.05,,,3.18,2.13,,2.65,,,,,,,,,,,,,,17,,,,,,,,41 %,,,,,,,,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200290_26,"[46.70868919999999, 19.850133]",46.70868919999999,19.850133
1178,1203,32.0,"Pannon Oktatási Központ Gimnázium, Szakgimnázium, Technikum, Szakképző Iskola és Általános Iskola Kecskeméti Tagintézménye","6000 Kecskemét, Deák Ferenc tér 1",Bács-Kiskun,"['általános iskolai nevelés-oktatás (alsó tagozat)', 'általános iskolai nevelés-oktatás (felső tagozat)', '4 évfolyamos gimnáziumi nevelés-oktatás']",200290.0,,"Pannon Oktatási Központ Gimnázium, Szakgimnázium, Technikum, Szakképző Iskola és Általános Iskola","2400 Dunaújváros, Pannon kert 1.",Fejér,Borgulya Zoltán,intézményvezető,25/431-890,25/434-175,"www.humanpszicho.hu, www.pok.suli.hu",18389997-1-07,"szakképző iskola (9-11. évfolyam), technikum (érettségire felkészítő két évfolyam), technikum (kizárólag szakmai képzés), általános iskolai nevelés-oktatás (alsó tagozat), általános iskolai nevelés-oktatás (felső tagozat), 4 évfolyamos gimnáziumi nevelés-oktatás, 6 évfolyamos gimnáziumi nevelés-oktatás, szakközépiskolai nevelés-oktatás (kizárólag szakmai oktatás - 2020.09.01-től kifutó rendszerben)",Humán-Pszicho 2002 Oktató és Szolgáltató Közhasznú Társaság,"2421 Nagyvenyim, Határvölgyi utca 39.",Humán-Pszicho 2002 Oktató és Szolgáltató Nonprofit Kft.,"2421 Nagyvenyim, Határvölgyi utca 39.",nonprofit korlátolt felelősségű társaság,Borgulya Zoltánné,30/641-0783,Gimnázium,32.0,3908.0,1595.0,3.0,95.0,57.0,129.0,110.0,34.0,31.0,,,,5-nél kevesebb,,,,,,,,24,25,,,25,25,,25,81 %,,,,,,,,66 %,71 %,,,55 %,48 %,,61 %,5.0,,,,,,,,3.79,4.0,,,3.32,2.96,,3.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200290_32,"[46.9070601, 19.6895868]",46.9070601,19.6895868
1179,1204,34.0,"Pannon Oktatási Központ Gimnázium, Szakgimnázium, Technikum, Szakképző Iskola és Általános Iskola Szigethalmi Tagintézménye","2315 Szigethalom, Sport utca 4",Pest,"['általános iskolai nevelés-oktatás (alsó tagozat)', 'általános iskolai nevelés-oktatás (felső tagozat)', '4 évfolyamos gimnáziumi nevelés-oktatás']",200290.0,,"Pannon Oktatási Központ Gimnázium, Szakgimnázium, Technikum, Szakképző Iskola és Általános Iskola","2400 Dunaújváros, Pannon kert 1.",Fejér,Borgulya Zoltán,intézményvezető,25/431-890,25/434-175,"www.humanpszicho.hu, www.pok.suli.hu",18389997-1-07,"szakképző iskola (9-11. évfolyam), technikum (érettségire felkészítő két évfolyam), technikum (kizárólag szakmai képzés), általános iskolai nevelés-oktatás (alsó tagozat), általános iskolai nevelés-oktatás (felső tagozat), 4 évfolyamos gimnáziumi nevelés-oktatás, 6 évfolyamos gimnáziumi nevelés-oktatás, szakközépiskolai nevelés-oktatás (kizárólag szakmai oktatás - 2020.09.01-től kifutó rendszerben)",Humán-Pszicho 2002 Oktató és Szolgáltató Közhasznú Társaság,"2421 Nagyvenyim, Határvölgyi utca 39.",Humán-Pszicho 2002 Oktató és Szolgáltató Nonprofit Kft.,"2421 Nagyvenyim, Határvölgyi utca 39.",nonprofit korlátolt felelősségű társaság,Borgulya Zoltánné,30/641-0783,Gimnázium,32.0,3908.0,1595.0,3.0,95.0,57.0,129.0,110.0,34.0,31.0,,,,5-nél kevesebb,,,,,,,5-nél kevesebb,31,33,,,33,33,,32,85 %,,,,,,,57 %,72 %,69 %,,,58 %,49 %,,57 %,5.0,,,,,,,4.0,4.16,3.94,,,3.55,2.97,,3.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200290_34,"[47.32465999999999, 18.9943061]",47.32465999999999,18.994306100000003
1180,1205,35.0,"Pannon Oktatási Központ Gimnázium, Szakgimnázium, Technikum, Szakképző Iskola és Általános Iskola Budapest Károly körúti Tagintézménye","1075 Budapest VII. kerület, Károly körút 3/a",Budapest,['4 évfolyamos gimnáziumi nevelés-oktatás'],200290.0,,"Pannon Oktatási Központ Gimnázium, Szakgimnázium, Technikum, Szakképző Iskola és Általános Iskola","2400 Dunaújváros, Pannon kert 1.",Fejér,Borgulya Zoltán,intézményvezető,25/431-890,25/434-175,"www.humanpszicho.hu, www.pok.suli.hu",18389997-1-07,"szakképző iskola (9-11. évfolyam), technikum (érettségire felkészítő két évfolyam), technikum (kizárólag szakmai képzés), általános iskolai nevelés-oktatás (alsó tagozat), általános iskolai nevelés-oktatás (felső tagozat), 4 évfolyamos gimnáziumi nevelés-oktatás, 6 évfolyamos gimnáziumi nevelés-oktatás, szakközépiskolai nevelés-oktatás (kizárólag szakmai oktatás - 2020.09.01-től kifutó rendszerben)",Humán-Pszicho 2002 Oktató és Szolgáltató Közhasznú Társaság,"2421 Nagyvenyim, Határvölgyi utca 39.",Humán-Pszicho 2002 Oktató és Szolgáltató Nonprofit Kft.,"2421 Nagyvenyim, Határvölgyi utca 39.",nonprofit korlátolt felelősségű társaság,Borgulya Zoltánné,30/641-0783,Gimnázium,32.0,3908.0,1595.0,3.0,95.0,57.0,129.0,110.0,34.0,31.0,,,,,,,,,,,,20,20,,,20,21,,20,,,,,,,,,58 %,73 %,,,50 %,51 %,,56 %,,,,,,,,,3.4,4.3,,,3.05,3.1,,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200290_35,"[47.4955589, 19.059576]",47.4955589,19.059576
1181,1206,37.0,"Pannon Oktatási Központ Gimnázium, Szakgimnázium, Technikum, Szakképző Iskola és Általános Iskola Kaposvári Tagintézménye","7400 Kaposvár, Cukorgyár köz 8",Somogy,['4 évfolyamos gimnáziumi nevelés-oktatás'],200290.0,,"Pannon Oktatási Központ Gimnázium, Szakgimnázium, Technikum, Szakképző Iskola és Általános Iskola","2400 Dunaújváros, Pannon kert 1.",Fejér,Borgulya Zoltán,intézményvezető,25/431-890,25/434-175,"www.humanpszicho.hu, www.pok.suli.hu",18389997-1-07,"szakképző iskola (9-11. évfolyam), technikum (érettségire felkészítő két évfolyam), technikum (kizárólag szakmai képzés), általános iskolai nevelés-oktatás (alsó tagozat), általános iskolai nevelés-oktatás (felső tagozat), 4 évfolyamos gimnáziumi nevelés-oktatás, 6 évfolyamos gimnáziumi nevelés-oktatás, szakközépiskolai nevelés-oktatás (kizárólag szakmai oktatás - 2020.09.01-től kifutó rendszerben)",Humán-Pszicho 2002 Oktató és Szolgáltató Közhasznú Társaság,"2421 Nagyvenyim, Határvölgyi utca 39.",Humán-Pszicho 2002 Oktató és Szolgáltató Nonprofit Kft.,"2421 Nagyvenyim, Határvölgyi utca 39.",nonprofit korlátolt felelősségű társaság,Borgulya Zoltánné,30/641-0783,Gimnázium,32.0,3908.0,1595.0,3.0,95.0,57.0,129.0,110.0,34.0,31.0,,,,,,,,,,,,26,29,,,29,30,,30,,,,,,,,,44 %,56 %,,,56 %,37 %,,50 %,,,,,,,,,2.58,3.45,,,3.41,2.43,,3.07,,,,,,,,,,,,5-nél kevesebb,,5-nél kevesebb,,,,,,43 %,,49 %,,,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200290_37,"[46.35775539999999, 17.8088003]",46.35775539999999,17.8088003
